dataset,gap,arch,MAE_EBM,RMSE_EBM,R2_EBM,MAE_AR2,MAE_Lin,UNC_mean,N
chirp,10,softsign_pca,0.4362162917852402,0.4921287000179291,0.4493362486362457,0.05420093461871147,0.744517594575882,0.2685614287853241,10
chirp,10,softsign_raw,0.5891032338142395,0.6590806484222412,0.018944936990737914,0.05420093461871147,0.744517594575882,0.007148263556882739,10
chirp,10,tanh_pca,0.44150422513484955,0.4979453384876251,0.4356865048408508,0.05420093461871147,0.744517594575882,0.19451240003108977,10
chirp,10,tanh_raw,0.5696467936038971,0.6370616018772125,0.08576688170433044,0.05420093461871147,0.744517594575882,0.010261880443431437,10
chirp,20,softsign_pca,0.4613544583320618,0.5241763979196549,0.3929473519325256,0.2583089880645275,0.8024237036705018,0.2509393110871315,10
chirp,20,softsign_raw,0.5865332067012787,0.6534870743751526,0.06166732311248779,0.2583089880645275,0.8024237036705018,0.005390578415244818,10
chirp,20,tanh_pca,0.46000716686248777,0.5219548374414444,0.39905222654342654,0.2583089880645275,0.8024237036705018,0.17932804599404334,10
chirp,20,tanh_raw,0.5727245360612869,0.6367625057697296,0.10951636433601379,0.2583089880645275,0.8024237036705018,0.008188906544819474,10
chirp,50,softsign_pca,0.6545917093753815,0.7418532192707061,-0.2274082660675049,0.5340765595436097,0.7786523818969726,0.32763642966747286,10
chirp,50,softsign_raw,0.6301157236099243,0.7009853184223175,-0.028367674350738524,0.5340765595436097,0.7786523818969726,0.00438519362360239,10
chirp,50,tanh_pca,0.6547555059194565,0.7418673038482666,-0.22819637656211852,0.5340765595436097,0.7786523818969726,0.18662737607955932,10
chirp,50,tanh_raw,0.6264106154441833,0.6970098316669464,-0.018518543243408202,0.5340765595436097,0.7786523818969726,0.01428730357438326,10
ecg,10,softsign_pca,0.9493867617972354,1.3608298010014472,-0.1755201075939422,0.9589183842882197,0.9814664229433587,0.3629994907119173,235
ecg,10,softsign_raw,0.9527100656894927,1.3684440506265518,-0.16552970181120202,0.9589183842882197,0.9814664229433587,0.029075869397716003,235
ecg,10,tanh_pca,0.951275190901249,1.3654722124972243,-0.18509022453997998,0.9589183842882197,0.9814664229433587,0.3580857353324586,235
ecg,10,tanh_raw,0.9435952369202959,1.370352686212418,-0.16954906773059927,0.9589183842882197,0.9814664229433587,0.046058720564271544,235
ecg,20,softsign_pca,0.5617010131795356,0.984255902564272,-0.026538284027830084,0.6044375343525663,0.5035702714260588,0.2938453793525696,235
ecg,20,softsign_raw,0.602969671817536,0.9684128038426663,0.025397135602666977,0.6044375343525663,0.5035702714260588,0.019394847763791443,235
ecg,20,tanh_pca,0.5629641619134457,0.9837211530259315,-0.026213878012718038,0.6044375343525663,0.5035702714260588,0.28133937821109245,235
ecg,20,tanh_raw,0.5980600003232347,0.9652318891058577,0.03146356521768773,0.6044375343525663,0.5035702714260588,0.021456180887415688,235
ecg,50,softsign_pca,0.3251639190506428,0.6545482485852343,-0.08337707544894929,0.31526868127762003,0.2535961107370701,0.2652150273006013,235
ecg,50,softsign_raw,0.3197513262642191,0.6365703719727537,-0.0007762069397784294,0.31526868127762003,0.2535961107370701,0.04511751986871612,235
ecg,50,tanh_pca,0.3363351083182274,0.6554983079433441,-0.08721249027455107,0.31526868127762003,0.2535961107370701,0.26503184350564124,235
ecg,50,tanh_raw,0.32530003272472546,0.6370398554396122,-0.004188943416514295,0.31526868127762003,0.2535961107370701,0.035957927483708615,235
