dataset,gap,A,B,p_raw,dz,cliffs_delta,p_holm
chirp,10,tanh_pca,tanh_raw,0.001953125,-2.5669066593976053,-0.68,0.00390625
chirp,10,softsign_raw,tanh_raw,0.001953125,6.1779885604704114,0.16,0.005859375
chirp,10,softsign_raw,tanh_pca,0.001953125,2.879574008451858,0.78,0.0078125
chirp,10,softsign_pca,tanh_raw,0.001953125,-2.824826261806752,-0.68,0.009765625
chirp,10,softsign_pca,softsign_raw,0.001953125,-3.151609177811523,-0.78,0.01171875
chirp,10,softsign_pca,tanh_pca,0.232421875,-0.5127420105690602,-0.08,0.232421875
chirp,20,tanh_pca,tanh_raw,0.001953125,-2.388833095121583,-0.54,0.00390625
chirp,20,softsign_raw,tanh_raw,0.001953125,2.510136434454371,0.16,0.005859375
chirp,20,softsign_raw,tanh_pca,0.001953125,2.5181678971102066,0.56,0.0078125
chirp,20,softsign_pca,tanh_raw,0.001953125,-2.2979836825990674,-0.54,0.009765625
chirp,20,softsign_pca,softsign_raw,0.001953125,-2.4155201030141424,-0.6,0.01171875
chirp,20,softsign_pca,tanh_pca,0.921875,0.18833000080574297,-0.02,0.921875
chirp,50,softsign_pca,tanh_pca,0.921875,-0.0814360651559058,-0.02,0.921875
chirp,50,softsign_raw,tanh_raw,0.16015625,0.6039415804267373,0.06,0.9609375
chirp,50,tanh_pca,tanh_raw,0.4921875,0.2571547280490596,0.18,0.984375
chirp,50,softsign_pca,softsign_raw,0.4921875,0.21136072301192574,0.16,1.0
chirp,50,softsign_pca,tanh_raw,0.4921875,0.25654097249661645,0.18,1.0
chirp,50,softsign_raw,tanh_pca,0.4921875,-0.2120886372317708,-0.16,1.0
ecg,10,softsign_raw,tanh_raw,4.117738646287783e-24,0.8192868993904526,0.09316432775011317,2.4706431877726695e-23
ecg,10,tanh_pca,tanh_raw,4.9836840570555335e-06,0.11932287428730488,0.1714622000905387,2.4918420285277668e-05
ecg,10,softsign_pca,tanh_raw,0.00015297512153337475,0.09327091366809308,0.13999094612947036,0.000611900486133499
ecg,10,softsign_pca,tanh_pca,0.0015352416055754074,-0.23038747930894096,-0.03384336803983703,0.0046057248167262225
ecg,10,softsign_raw,tanh_pca,0.014866207861799454,0.02272338468295803,-0.10573110004526935,0.029732415723598908
ecg,10,softsign_pca,softsign_raw,0.26249208829729487,-0.0551095450210801,0.0711090991398823,0.26249208829729487
ecg,20,softsign_raw,tanh_pca,5.61253091093731e-29,0.9424750540278145,0.40421910366681757,3.3675185465623863e-28
ecg,20,softsign_pca,softsign_raw,7.03888791566145e-29,-0.9508172357720789,-0.42265278406518786,3.519443957830725e-28
ecg,20,softsign_pca,tanh_raw,1.9308593151215024e-22,-0.7756428954114315,-0.40487098234495245,7.72343726048601e-22
ecg,20,tanh_pca,tanh_raw,1.0895571709403166e-21,-0.7520192908173137,-0.38147578089633316,3.2686715128209498e-21
ecg,20,softsign_raw,tanh_raw,0.00032985502824993705,0.30579541758450784,0.06842915346310548,0.0006597100564998741
ecg,20,softsign_pca,tanh_pca,0.0007616898048915924,-0.22599170913029895,-0.024717066545948393,0.0007616898048915924
ecg,50,softsign_pca,tanh_pca,3.479002650215643e-33,-0.8640758046981364,-0.09577184246265279,2.087401590129386e-32
ecg,50,softsign_raw,tanh_raw,0.0001824910256124414,-0.2796620798822465,-0.05571751923947488,0.0009124551280622071
ecg,50,softsign_raw,tanh_pca,0.007010566009130823,-0.21140755350801246,-0.12554096876414667,0.028042264036523292
ecg,50,tanh_pca,tanh_raw,0.02109830595233579,0.17652141529262175,0.06419194205522862,0.06329491785700737
ecg,50,softsign_pca,softsign_raw,0.24847194010895113,0.062287525798153706,0.05234947940244455,0.49694388021790226
ecg,50,softsign_pca,tanh_raw,0.8449703001092649,-0.0019146877100511054,-0.01606156631960163,0.8449703001092649
