dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,MAE_AR2,MAE_Lin,UNC_mean,arch
chirp,10,0,240,0.5313902497291565,0.5695236325263977,-0.02849757671356201,0.045663364231586456,0.5671055316925049,0.0012582808267325163,softsign_raw
chirp,10,1,149,0.45960354804992676,0.5273231267929077,0.10040992498397827,0.04426245763897896,0.6029084920883179,0.009972000494599342,softsign_raw
chirp,10,2,199,0.6385412812232971,0.6979937553405762,-0.059873104095458984,0.05201210826635361,0.7566846609115601,0.0020229576621204615,softsign_raw
chirp,10,3,132,0.6102325320243835,0.6904345750808716,0.11680442094802856,0.04860437288880348,0.7547295093536377,0.013627374544739723,softsign_raw
chirp,10,4,155,0.7178666591644287,0.8183447122573853,0.0046536922454833984,0.06800819933414459,0.8731831312179565,0.006188655272126198,softsign_raw
chirp,10,5,43,0.6851471662521362,0.7907846570014954,0.11285924911499023,0.02348269149661064,0.834471583366394,0.01834353432059288,softsign_raw
chirp,10,6,6,0.7130317687988281,0.7919003963470459,0.09235173463821411,0.03514088690280914,0.8637102246284485,0.0066380747593939304,softsign_raw
chirp,10,7,179,0.5451619029045105,0.6061087846755981,-0.0576397180557251,0.08911143243312836,0.7496652007102966,0.0044125453568995,softsign_raw
chirp,10,8,185,0.49145111441612244,0.5522715449333191,-0.10566532611846924,0.09853310883045197,0.769305408000946,0.0036836867220699787,softsign_raw
chirp,10,9,67,0.4986061155796051,0.5461212992668152,0.014046072959899902,0.03719072416424751,0.6734122037887573,0.00533552560955286,softsign_raw
chirp,20,0,148,0.4868587553501129,0.5483099818229675,0.033220112323760986,0.32835304737091064,0.8116752505302429,0.007177961058914661,softsign_raw
chirp,20,1,145,0.5028433203697205,0.5545403361320496,0.10467851161956787,0.10094430297613144,0.5756179094314575,0.0041283415630459785,softsign_raw
chirp,20,2,218,0.616917073726654,0.6979407072067261,0.03341907262802124,0.4865199625492096,0.9230729341506958,0.006807753350585699,softsign_raw
chirp,20,3,28,0.5533114671707153,0.6159757971763611,0.08765393495559692,0.3261867165565491,0.9832935333251953,0.005551512353122234,softsign_raw
chirp,20,4,208,0.7276026010513306,0.8195270895957947,0.06038367748260498,0.6065660715103149,1.1218886375427246,0.004932515323162079,softsign_raw
chirp,20,5,38,0.7652170658111572,0.843237042427063,0.017369747161865234,0.07257948815822601,0.8177871704101562,0.008044318296015263,softsign_raw
chirp,20,6,158,0.6472958326339722,0.7154008746147156,0.056723058223724365,0.2454012930393219,0.8258336186408997,0.0044694943353533745,softsign_raw
chirp,20,7,179,0.5226165056228638,0.5902580618858337,0.04551208019256592,0.1766098439693451,0.6543828248977661,0.0039645289070904255,softsign_raw
chirp,20,8,20,0.5497055649757385,0.6079691648483276,0.08840066194534302,0.1461971253156662,0.7068697214126587,0.004265683703124523,softsign_raw
chirp,20,9,84,0.49296388030052185,0.541711688041687,0.08931237459182739,0.09373202919960022,0.6038154363632202,0.004563675262033939,softsign_raw
chirp,50,0,35,0.575251579284668,0.644386351108551,-0.056752562522888184,0.5741742849349976,0.851490318775177,0.006492997985333204,softsign_raw
chirp,50,1,8,0.5417759418487549,0.6059485673904419,-0.10261547565460205,0.5067086219787598,0.6601512432098389,0.005365944933146238,softsign_raw
chirp,50,2,138,0.617964506149292,0.6843620538711548,-0.06121361255645752,0.6188449263572693,0.6970342397689819,0.004139917902648449,softsign_raw
chirp,50,3,130,0.6838206648826599,0.7579973340034485,0.01605820655822754,0.600323498249054,0.7758808135986328,0.002328114816918969,softsign_raw
chirp,50,4,63,0.7319954037666321,0.8147148489952087,-0.03737378120422363,0.6961471438407898,0.8705587983131409,0.004846427123993635,softsign_raw
chirp,50,5,48,0.7478312849998474,0.8254629969596863,0.05615967512130737,0.35279083251953125,0.8237278461456299,0.0032980614341795444,softsign_raw
chirp,50,6,142,0.680266261100769,0.7584382891654968,-0.07559812068939209,0.6656678915023804,0.9538366794586182,0.006534400396049023,softsign_raw
chirp,50,7,32,0.6253786683082581,0.6948564052581787,0.09970694780349731,0.251755952835083,0.6752387881278992,0.0023834819439798594,softsign_raw
chirp,50,8,34,0.5746986865997314,0.6399326920509338,-0.08176898956298828,0.558091938495636,0.7557029724121094,0.004941300954669714,softsign_raw
chirp,50,9,93,0.5221742391586304,0.5837536454200745,-0.04027903079986572,0.5162605047225952,0.7229021191596985,0.0035212887451052666,softsign_raw
