dataset,gap,arch,baseline,N,MAE_EBM_mean,MAE_base_mean,p_raw,dz,cliffs_delta,p_holm
chirp,10,softsign_pca,AR(2),10,0.4412710428237915,0.054200934618711415,0.001953125,4.300334985517796,1.0,0.00390625
chirp,10,softsign_pca,Linear,10,0.4412710428237915,0.744517594575882,0.001953125,-10.275282035238236,-0.98,0.001953125
chirp,20,tanh_pca,AR(2),10,0.4601754754781723,0.2583089880645275,0.001953125,1.475171378321093,0.66,0.00390625
chirp,20,tanh_pca,Linear,10,0.4601754754781723,0.8024237036705018,0.001953125,-3.3275204907396927,-0.94,0.001953125
chirp,50,tanh_raw,AR(2),10,0.627067357301712,0.5340765595436097,0.001953125,0.6311928057403426,0.46,0.00390625
chirp,50,tanh_raw,Linear,10,0.627067357301712,0.7786523818969726,0.001953125,-1.9622587991804488,-0.76,0.001953125
ecg,10,lsm_rates,AR(2),235,0.9091697081606439,0.9589183842882197,1.8900828700926292e-08,-0.3803226552601427,-0.19981892258940698,1.8900828700926292e-08
ecg,10,lsm_rates,Linear,235,0.9091697081606439,0.9814664229433587,8.318238354082303e-26,-0.5479488457659994,-0.4483657763693979,1.6636476708164606e-25
ecg,20,lsm_spikes,AR(2),235,0.5406513873566973,0.6044375343525663,4.7295106684626065e-23,-0.7517472883848997,-0.5803712086917157,9.459021336925213e-23
ecg,20,lsm_spikes,Linear,235,0.5406513873566973,0.5035702714260588,5.6324444208448e-13,0.4355082694294442,0.488492530556813,5.6324444208448e-13
ecg,50,softsign_raw,AR(2),235,0.30071433040689916,0.31526868127762003,0.0005225622798646339,-0.23396533131921435,-0.26953372566772293,0.0005225622798646339
ecg,50,softsign_raw,Linear,235,0.30071433040689916,0.2535961107370701,6.438829700543225e-20,0.7377361062163893,0.4743684925305568,1.287765940108645e-19
