dataset,gap,arch,MAE_mean,MAE_std,N
chirp,10,softsign_pca,0.4412710428237915,0.08701384808148686,10
chirp,10,tanh_pca,0.44284373223781587,0.08608692699617042,10
chirp,10,lsm_spikes,0.45198805034160616,0.08444833578881657,10
chirp,10,lsm_rates,0.4568901598453522,0.08435028565209204,10
chirp,10,tanh_raw,0.5696153044700623,0.09595656193455183,10
chirp,10,softsign_raw,0.5867214858531952,0.09602459651939933,10
chirp,20,tanh_pca,0.4601754754781723,0.10939955885705335,10
chirp,20,softsign_pca,0.46023323833942414,0.10905215620348194,10
chirp,20,lsm_spikes,0.46500868499279024,0.1066397245355523,10
chirp,20,lsm_rates,0.46941712498664856,0.1122781659624595,10
chirp,20,tanh_raw,0.5720225811004639,0.09768252381605301,10
chirp,20,softsign_raw,0.583310604095459,0.09831043214520088,10
chirp,50,tanh_raw,0.627067357301712,0.07486075616317113,10
chirp,50,softsign_raw,0.6313812136650085,0.07690787522039352,10
chirp,50,softsign_pca,0.6544836223125458,0.10561147796831112,10
chirp,50,tanh_pca,0.6546082735061646,0.10564768200352477,10
chirp,50,lsm_spikes,0.6561602115631103,0.10625725731061123,10
chirp,50,lsm_rates,0.6576637834310531,0.1057614462133656,10
ecg,10,lsm_rates,0.9091697081606439,0.1352658530974855,235
ecg,10,lsm_spikes,0.9131280097555607,0.13039695978907442,235
ecg,10,softsign_raw,0.9412850501689505,0.06572165069960728,235
ecg,10,softsign_pca,0.9453496364836997,0.10660890949975593,235
ecg,10,tanh_raw,0.9453517185880783,0.06548412084113589,235
ecg,10,tanh_pca,0.9506143529364404,0.11361606971789469,235
ecg,20,lsm_spikes,0.5406513873566973,0.08823255173133694,235
ecg,20,lsm_rates,0.5425996370772098,0.09929394782542948,235
ecg,20,tanh_pca,0.560592572486147,0.07429384078283097,235
ecg,20,softsign_pca,0.5640844178960679,0.07448383014998047,235
ecg,20,softsign_raw,0.5798065319974371,0.04817024192146305,235
ecg,20,tanh_raw,0.5989596550768994,0.051479547753067005,235
ecg,50,softsign_raw,0.30071433040689916,0.06472688027803644,235
ecg,50,tanh_raw,0.31331722463699097,0.06752610875110496,235
ecg,50,lsm_spikes,0.31452259719371795,0.07365068457918111,235
ecg,50,lsm_rates,0.31907580868994934,0.0946188996760618,235
ecg,50,softsign_pca,0.3268626663279026,0.0749579560607874,235
ecg,50,tanh_pca,0.3341696025843316,0.07705099913473942,235
