dataset,gap,arch,N,spearman_rho,spearman_p,auroc_hardwin
chirp,10,lsm_rates,10,0.5151515151515089,,0.6666666666666666
chirp,10,lsm_spikes,10,0.5151515151515089,,0.6666666666666666
chirp,10,softsign_pca,10,0.5878787878787808,,0.8095238095238095
chirp,10,softsign_raw,10,0.2848484848484814,,0.8095238095238095
chirp,10,tanh_pca,10,0.6242424242424167,,0.8571428571428572
chirp,10,tanh_raw,10,0.24848484848484548,,0.7619047619047619
chirp,20,lsm_rates,10,0.17575757575757364,,0.7142857142857143
chirp,20,lsm_spikes,10,-0.018181818181817962,,0.6666666666666666
chirp,20,softsign_pca,10,0.3333333333333293,,0.8095238095238095
chirp,20,softsign_raw,10,0.5636363636363568,,0.6190476190476191
chirp,20,tanh_pca,10,0.27272727272726943,,0.6666666666666667
chirp,20,tanh_raw,10,0.6727272727272646,,0.7142857142857143
chirp,50,lsm_rates,10,-0.006060606060605988,,0.33333333333333337
chirp,50,lsm_spikes,10,-0.10303030303030179,,0.23809523809523814
chirp,50,softsign_pca,10,-0.09090909090908982,,0.380952380952381
chirp,50,softsign_raw,10,-0.12727272727272573,,0.5714285714285714
chirp,50,tanh_pca,10,-0.006060606060605988,,0.42857142857142855
chirp,50,tanh_raw,10,-0.4060606060606012,,0.33333333333333337
ecg,10,lsm_rates,235,-0.42624483342117675,,0.414291217257319
ecg,10,lsm_spikes,235,-0.30990133799365677,,0.461864406779661
ecg,10,softsign_pca,235,-0.2658205960405744,,0.463020030816641
ecg,10,softsign_raw,235,0.05073742221235911,,0.6276964560862865
ecg,10,tanh_pca,235,-0.21792560126494492,,0.47650231124807396
ecg,10,tanh_raw,235,-0.11132625038142528,,0.5656779661016949
ecg,20,lsm_rates,235,-0.3353037994581449,,0.5084745762711864
ecg,20,lsm_spikes,235,-0.4741490748703154,,0.3226117103235747
ecg,20,softsign_pca,235,-0.29253053713926414,,0.3799114021571649
ecg,20,softsign_raw,235,-0.1831174235068934,,0.48102850539291214
ecg,20,tanh_pca,235,-0.341689552183602,,0.33484206471494604
ecg,20,tanh_raw,235,-0.14104598370736127,,0.5182973805855162
ecg,50,lsm_rates,235,0.06436794363227828,,0.6764252696456087
ecg,50,lsm_spikes,235,-0.01533838201706936,,0.6420454545454546
ecg,50,softsign_pca,235,0.21315616706889695,,0.7620377503852079
ecg,50,softsign_raw,235,0.4468057366362451,,0.6580315870570108
ecg,50,tanh_pca,235,0.15007073705234542,,0.7435477657935285
ecg,50,tanh_raw,235,0.4826532404967313,,0.7151386748844377
