dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,CORR_AR2,MAE_Lin,UNC_mean,arch
chirp,10,0,240,0.29608696699142456,0.32184141874313354,0.6715543270111084,0.9539554715156555,0.045663364231586456,0.9951178431510925,0.5671055316925049,0.09517306834459305,softsign_pca
chirp,10,1,149,0.35587313771247864,0.4028225839138031,0.47504913806915283,0.697341799736023,0.04426245763897896,0.9954912662506104,0.6029084920883179,0.20294193923473358,softsign_pca
chirp,10,2,199,0.4359004497528076,0.4778945744037628,0.5031617879867554,0.9100784659385681,0.05201210826635361,0.9963117241859436,0.7566846609115601,0.21155984699726105,softsign_pca
chirp,10,3,132,0.4564768373966217,0.5337226390838623,0.47223198413848877,0.6885966062545776,0.04860437288880348,0.9974255561828613,0.7547295093536377,0.2655702531337738,softsign_pca
chirp,10,4,155,0.5814043283462524,0.6370337009429932,0.3968484401702881,0.7320739030838013,0.06800819933414459,0.9962455630302429,0.8731831312179565,0.1616239994764328,softsign_pca
chirp,10,5,43,0.5242741107940674,0.5978418588638306,0.49295246601104736,0.7168704867362976,0.02348269149661064,0.9998415112495422,0.834471583366394,0.3854820430278778,softsign_pca
chirp,10,6,6,0.5273786187171936,0.6139807105064392,0.45438551902770996,0.7150851488113403,0.03514088690280914,0.9995739459991455,0.8637102246284485,0.21495358645915985,softsign_pca
chirp,10,7,179,0.4447866380214691,0.4925556182861328,0.30153095722198486,0.7405061721801758,0.08911143243312836,0.9861347079277039,0.7496652007102966,0.12642915546894073,softsign_pca
chirp,10,8,185,0.42099905014038086,0.471303254365921,0.19477134943008423,0.77897709608078,0.09853310883045197,0.9734688401222229,0.769305408000946,0.10444305092096329,softsign_pca
chirp,10,9,67,0.3695302903652191,0.41619375348091125,0.42737603187561035,0.764854907989502,0.03719072416424751,0.9981341361999512,0.6734122037887573,0.14225152134895325,softsign_pca
chirp,20,0,148,0.43651461601257324,0.4927467107772827,0.21923059225082397,0.5883088707923889,0.32835304737091064,0.7195967435836792,0.8116752505302429,0.16362711787223816,softsign_pca
chirp,20,1,145,0.29961535334587097,0.3421734869480133,0.6591169238090515,0.8771890997886658,0.10094430297613144,0.9785270094871521,0.5756179094314575,0.13577231764793396,softsign_pca
chirp,20,2,218,0.5489103198051453,0.6246127486228943,0.2258540391921997,0.5228091478347778,0.4865199625492096,0.6114734411239624,0.9230729341506958,0.19819435477256775,softsign_pca
chirp,20,3,28,0.444749653339386,0.5108762383460999,0.37242770195007324,0.6730921268463135,0.3261867165565491,0.7927315831184387,0.9832935333251953,0.19377799332141876,softsign_pca
chirp,20,4,208,0.6384260654449463,0.7287838459014893,0.2569442391395569,0.5696640014648438,0.6065660715103149,0.560656726360321,1.1218886375427246,0.18612651526927948,softsign_pca
chirp,20,5,38,0.5866928100585938,0.6479128003120422,0.4198719263076782,0.8535564541816711,0.07257948815822601,0.9979915618896484,0.8177871704101562,0.19924727082252502,softsign_pca
chirp,20,6,158,0.5098420977592468,0.5668500065803528,0.4077887535095215,0.7061090469360352,0.2454012930393219,0.916748046875,0.8258336186408997,0.13531894981861115,softsign_pca
chirp,20,7,179,0.41247814893722534,0.4691030979156494,0.39713066816329956,0.6571403741836548,0.1766098439693451,0.936348557472229,0.6543828248977661,0.11165185272693634,softsign_pca
chirp,20,8,20,0.38488587737083435,0.4371190667152405,0.5287619233131409,0.8142374753952026,0.1461971253156662,0.9683322310447693,0.7068697214126587,0.2479642629623413,softsign_pca
chirp,20,9,84,0.3402174413204193,0.3955234885215759,0.5145130157470703,0.7435349822044373,0.09373202919960022,0.9826571941375732,0.6038154363632202,0.1355958878993988,softsign_pca
chirp,50,0,35,0.6554527878761292,0.756783127784729,-0.45755040645599365,-0.13472190499305725,0.5741742849349976,0.048346467316150665,0.851490318775177,0.2511187493801117,softsign_pca
chirp,50,1,8,0.6561681628227234,0.7446017265319824,-0.6649478673934937,-0.24690236151218414,0.5067086219787598,0.215142160654068,0.6601512432098389,0.20918962359428406,softsign_pca
chirp,50,2,138,0.7162728309631348,0.8036648035049438,-0.4634600877761841,-0.2441222220659256,0.6188449263572693,0.10747866332530975,0.6970342397689819,0.1445382684469223,softsign_pca
chirp,50,3,130,0.6597741842269897,0.7467572093009949,0.04502290487289429,0.25211307406425476,0.600323498249054,0.3758241534233093,0.7758808135986328,0.1333969533443451,softsign_pca
chirp,50,4,63,0.8059836626052856,0.9051996469497681,-0.2805976867675781,-0.10021436959505081,0.6961471438407898,0.21821381151676178,0.8705587983131409,0.17101964354515076,softsign_pca
chirp,50,5,48,0.5737982392311096,0.6359710693359375,0.4397549629211426,0.8711358308792114,0.35279083251953125,0.8883506655693054,0.8237278461456299,0.1255141794681549,softsign_pca
chirp,50,6,142,0.7786943912506104,0.8751980066299438,-0.4322611093521118,-0.2675968408584595,0.6656678915023804,0.05927840620279312,0.9538366794586182,0.12875202298164368,softsign_pca
chirp,50,7,32,0.4347466230392456,0.49352210760116577,0.5458419322967529,0.8631229996681213,0.251755952835083,0.9326876997947693,0.6752387881278992,0.17299380898475647,softsign_pca
chirp,50,8,34,0.6662206053733826,0.7618923783302307,-0.533392071723938,-0.23450718820095062,0.558091938495636,0.1248989924788475,0.7557029724121094,0.1565166711807251,softsign_pca
chirp,50,9,93,0.5977247357368469,0.6896417140960693,-0.45190322399139404,-0.1191040650010109,0.5162605047225952,0.12814931571483612,0.7229021191596985,0.1370079219341278,softsign_pca
